Country Name,Country Code,Jahr,GDP,GDP_per_Capita,Inflation,Population,Unemployment
Canada,CAN,1991,612527712315.615,21846.7930471354,5.62586408593005,28037420.0,10.316
China,CHN,1991,384510452961.672,334.130288119078,3.55668565220452,1150780000.0,2.37
France,FRA,1991,1258961748633.88,21500.7778366233,3.21340732409687,58554242.0,9.134
Germany,DEU,1991,1875792575132.59,23443.3350818536,4.04703259753466,80013896.0,5.316
India,IND,1991,270105341879.226,305.574055928592,13.8702461773683,883927600.0,7.641
Indonesia,IDN,1991,116621996217.133,624.387495384411,9.41906784347004,186778238.0,2.617
Italy,ITA,1991,1249092439519.28,22007.1350964074,6.24999929790291,56758521.0,10.097
Japan,JPN,1991,3648065760648.88,29428.4289039469,3.25143848753308,123964000.0,2.059
"Korea, Rep.",KOR,1991,340851946803.812,7872.65052449111,9.33279048161495,43295704.0,2.407
Mexico,MEX,1991,313139656145.745,3708.8420548157,22.662359455061,84430572.0,3.145
Russian Federation,RUS,1991,517962962962.963,3490.45239257813,,148394216.0,5.11
Saudi Arabia,SAU,1991,132223230974.633,11847.1699534218,4.86111111111135,11160744.0,7.316
South Africa,ZAF,1991,135203698237.977,3243.23616023953,15.3347785733672,41687898.0,23.137
Turkiye,TUR,1991,151034731543.624,2649.27259974439,65.9785679918951,57009887.0,8.21
United Kingdom,GBR,1991,1142797178130.51,19900.7266505069,7.46178295746934,57424897.0,8.55
United States,USA,1991,6158129000000.0,24342.2589048189,4.23496396453849,252981000.0,6.8
Argentina,ARG,1992,228778917308.17,6789.99611136495,,33693527.0,6.36
Australia,AUS,1992,325982966981.415,18650.3675476612,1.01223112610714,17478635.0,10.733
Brazil,BRA,1992,328187960871.951,2127.29083011489,951.962053052818,154275079.0,7.086
Canada,CAN,1992,594387358318.855,20950.3305287651,1.49013290374545,28371264.0,11.197
China,CHN,1992,428502354788.069,367.822651903542,6.35398134024869,1164970000.0,2.37
France,FRA,1992,1389663073110.28,23615.0168565483,2.36376046269353,58846584.0,10.203
Germany,DEU,1992,2141377582968.07,26559.8543879632,5.05697796731731,80624598.0,6.323
India,IND,1992,288208070278.013,319.182472626315,11.7878170418134,902957070.0,7.649
Indonesia,IDN,1992,128026966579.964,673.67103954742,7.52351006242677,190043744.0,2.734
Italy,ITA,1992,1323204350353.5,23297.0460325456,5.2705899859293,56797087.0,9.321
Japan,JPN,1992,3980702922117.66,31992.7902119161,1.7602830605927,124425000.0,2.158
"Korea, Rep.",KOR,1992,366921291824.719,8387.16308258471,6.21328146355184,43747962.0,2.513
Mexico,MEX,1992,363157832923.734,4220.56643677057,15.5078962533573,86044809.0,3.235
Russian Federation,RUS,1992,460290556900.726,3098.802734375,,148538197.0,5.181
Saudi Arabia,SAU,1992,137087850467.29,11730.2687665244,-0.0770060064690784,11686676.0,7.2
South Africa,ZAF,1992,146956150986.636,3462.39400202835,13.874703748615,42443509.0,23.463
Turkiye,TUR,1992,159104772991.851,2743.65320297936,70.0761038690372,57990118.0,8.509
United Kingdom,GBR,1992,1179659529659.53,20487.1707852878,4.59154929577461,57580402.0,9.772
United States,USA,1992,6520327000000.0,25418.9907763319,3.02881967814969,256514000.0,7.5
